holdType,homeType,noBed,soldPrice,usage,latitude,longitude
1,3,3,482500,1,51.38865033,-2.3834891209999998
2,3,1,140000,1,51.3956508,-2.3901594680000002
1,3,3,260000,1,51.36950255,-2.395640052
1,3,2,237000,1,51.40019717,-2.354462303
1,2,3,600000,1,51.35806241,-2.360254835
2,4,1,155000,1,51.387977,-2.363781
1,1,3,315000,1,51.37626594,-2.376532
2,4,1,150000,1,51.37973793,-2.3894349669999997
1,3,4,675000,1,51.36067057,-2.348182115
1,1,3,300000,1,51.37368163,-2.3962507580000003
1,3,4,675000,1,51.36067057,-2.348182115
2,4,1,150000,1,51.37973793,-2.3894349669999997
1,1,3,350000,1,51.38944579,-2.401028988
1,2,3,435000,1,51.36259257,-2.3778995259999998
2,3,2,203500,1,51.38038956,-2.393549934
1,3,3,335000,1,51.35234264,-2.37770026
1,2,3,525000,1,51.3953273,-2.356235676
2,3,3,360000,1,51.37640633,-2.362898833
1,2,3,260000,1,51.3769395,-2.392730114
1,1,3,490000,1,51.37367146,-2.369097905
1,2,4,980000,1,51.39426534,-2.376651435
1,2,5,842000,1,51.39129345,-2.378092966
2,4,2,380000,1,51.38504425,-2.352132147
2,3,2,410000,1,51.39427298,-2.356989249
1,1,3,520000,1,51.38844554,-2.393719682
2,4,2,630000,1,51.39185432,-2.368568801
1,3,2,254000,1,51.37122294,-2.372813304
1,3,2,345000,1,51.37583729,-2.383453818
1,3,3,385000,1,51.36854912,-2.390374261
1,1,4,490000,1,51.38686152,-2.399468721
1,1,3,650000,1,51.37586613,-2.348326197
1,3,2,340000,1,51.38621301,-2.380910791
1,1,4,610000,1,51.36649456,-2.3724157740000003
1,1,2,246000,1,51.38460575,-2.399132929
2,4,2,275000,1,51.38678436,-2.356514186
1,3,2,385000,1,51.39589245,-2.322562989
1,3,3,490000,1,51.39729021,-2.346664
2,4,2,266000,1,51.37306753,-2.3667082319999997
2,4,2,228000,1,51.37117604,-2.379018931
1,1,4,485000,1,51.39436587,-2.384456812
2,4,3,260000,1,51.40348311,-2.373435126
1,1,3,285000,1,51.35531285,-2.376791249
2,1,3,415000,1,51.367641,-2.365772873
1,3,3,342500,1,51.39709645,-2.388058814
2,4,1,135000,1,51.39668131,-2.391217524
1,3,3,275000,1,51.36165334,-2.362121461
1,1,3,460000,1,51.40381292,-2.401485364
2,3,3,315000,1,51.39735995,-2.3926319659999997
1,3,3,395000,1,51.38296356,-2.390152095
1,3,2,335000,1,51.37533506,-2.377516022
1,3,2,210000,1,51.36226968,-2.35760199
1,3,1,208000,1,51.363683,-2.388451
1,3,2,225500,1,51.3634478,-2.383120462
1,3,3,304000,1,51.36210194,-2.382233087
1,3,4,950000,1,51.38665696,-2.365753492
1,3,2,239950,1,51.37903492,-2.389931885
1,3,2,305000,1,51.37122294,-2.372813304
2,4,2,222000,1,51.3944488,-2.3523768730000003
2,4,2,185000,1,51.39248237,-2.3544457569999997
1,3,5,675000,1,51.38429403,-2.3875337290000003
1,3,4,620000,1,51.38579313,-2.390995281
1,1,3,385000,1,51.40025851,-2.342919766
1,2,4,545000,1,51.36245969,-2.363061421
2,2,4,837000,1,51.40946433,-2.307906998
2,1,4,373000,1,51.38099946,-2.383166498
2,4,3,255000,1,51.39657604,-2.359536961
2,4,3,255000,1,51.39657604,-2.359536961
2,1,4,373000,1,51.38099946,-2.383166498
1,1,2,400000,1,51.39214168,-2.326259019
1,3,4,293000,1,51.37856608,-2.3930026680000003
1,1,3,360000,1,51.36101977,-2.357620975
1,3,2,310000,1,51.39698309,-2.352827574
1,1,2,400000,1,51.39499327,-2.322571033
2,4,1,170000,1,51.39106544,-2.35617381
1,1,2,200000,1,51.3764993,-2.40580071
1,2,3,460000,1,51.40033991,-2.339671652
1,1,3,357000,1,51.40127875,-2.347599334
2,3,3,344000,1,51.37384886,-2.372705348
1,3,3,325000,1,51.3581288,-2.379097874
1,2,4,1490000,1,51.402189,-2.373669
1,2,5,2150000,1,51.396341,-2.371849812
1,2,4,1250000,1,51.39229387,-2.374565614
1,3,2,247500,1,51.35912422,-2.382682232
1,3,3,320000,1,51.38767503,-2.400855419
1,3,2,242000,1,51.39787592,-2.391601449
2,4,1,223500,1,51.37594049,-2.379374381
1,3,2,376000,1,51.39773049,-2.346436868
1,3,2,530000,1,51.39624199,-2.345045751
1,3,4,385000,1,51.35934471,-2.349550811
2,4,1,255000,1,51.38588729,-2.36169491
2,1,3,495000,1,51.39049032,-2.3872268119999998
1,1,2,212000,1,51.37491729,-2.397784328
1,3,3,278000,1,51.36651575,-2.365693455
1,4,2,310000,1,51.39554516,-2.38691
1,1,3,380000,1,51.37127078,-2.37797
2,3,2,215000,1,51.35544752,-2.379635801
2,4,2,275000,1,51.37465823,-2.33076075
1,3,3,313500,1,51.37826083,-2.384738463
2,4,1,240500,1,51.38657675,-2.35971721
2,4,1,500000,1,51.39475088,-2.344531465
1,1,3,725000,1,51.41264937,-2.320567317
2,4,1,500000,1,51.39475088,-2.344531465
1,3,3,358500,1,51.38305673,-2.39454995
1,1,3,295000,1,51.36963001,-2.3816206380000002
1,1,3,375000,1,51.40395986,-2.397950146
2,4,2,230000,1,51.38190426,-2.3841942659999997
1,2,3,321000,1,51.3581288,-2.379097874
1,3,2,360000,1,51.40361156,-2.4025186659999997
1,3,3,330000,1,51.36279334,-2.347939686
1,1,3,410000,1,51.38674753,-2.401249688
1,3,3,297905,1,51.37856608,-2.3930026680000003
2,4,2,237000,1,51.35847493,-2.372106544
1,1,3,380000,1,51.39895396,-2.3611224319999997
1,3,3,492000,1,51.39685745,-2.349750615
1,3,2,275000,1,51.3959092,-2.354112921
1,2,4,560000,1,51.3958787,-2.355392
1,1,3,432500,1,51.36272226,-2.350668137
1,2,5,450000,1,51.3649235,-2.3909610580000002
2,4,2,310000,1,51.39142477,-2.38482
1,3,2,265000,1,51.37523551,-2.388707121
1,1,2,256000,1,51.37104769,-2.390711568
2,3,4,590000,1,51.38645005,-2.3799068230000002
1,2,3,400000,1,51.38706278,-2.395805936
1,3,2,365000,1,51.36176805,-2.3480180880000003
1,1,3,440000,1,51.36760453,-2.371160696
1,3,3,335000,1,51.35968988,-2.360267611
1,3,4,690000,1,51.37478981,-2.331925416
1,3,3,375000,1,51.37987203,-2.381475965
1,3,3,350000,1,51.37950107,-2.37663074
2,4,2,287500,1,51.38790238,-2.34953858
1,2,3,363000,1,51.37338817,-2.3926135090000002
1,3,4,407500,1,51.3781905,-2.384249362
2,3,3,580000,1,51.39132308,-2.3571962280000003
1,2,5,875000,1,51.40946433,-2.307906998
1,3,2,240000,1,51.36926352,-2.397189429
1,2,2,283000,1,51.4000954,-2.392224
1,2,5,575000,1,51.37083219,-2.368428606
1,2,3,497000,1,51.41133176,-2.344440494
1,1,4,405000,1,51.40451318,-2.323385619
1,3,2,285000,1,51.35577559,-2.3810602480000003
1,3,2,285000,1,51.3756942,-2.38595251
1,1,3,450000,1,51.40491096,-2.401178705
1,2,4,495000,1,51.39738883,-2.300883235
2,4,1,186000,1,51.3755989,-2.373754002
2,3,3,488500,1,51.37606276,-2.360597349
2,4,2,220500,1,51.3944488,-2.3523768730000003
1,3,3,465000,1,51.37069706,-2.365640593
1,3,4,785000,1,51.39607874,-2.345518849
1,1,3,339500,1,51.39760104,-2.3476433080000003
1,1,3,247000,1,51.35941532,-2.38165059
2,3,3,359971,1,51.39608697,-2.348810454
1,3,4,510000,1,51.38831614,-2.361340423
1,1,3,360000,1,51.37234328,-2.393164845
1,3,3,475000,1,51.3959092,-2.354112921
1,1,3,372500,1,51.36777711,-2.364884721
1,1,5,695000,1,51.38519104,-2.388187967
1,2,2,300000,1,51.40516222,-2.398693786
2,3,4,420000,1,51.37609127,-2.377234901
1,3,2,370000,1,51.37531253,-2.378923808
1,3,3,326000,1,51.3854988,-2.382097588
1,3,3,442500,1,51.39985871,-2.344339872
2,4,2,387500,1,51.39322476,-2.3645123580000003
1,2,6,1300000,1,51.3586799,-2.35533357
1,3,3,410000,1,51.39923028,-2.347051937
2,4,3,460000,1,51.39259881,-2.332874
2,2,3,347500,1,51.39657604,-2.359536961
1,3,2,248000,1,51.39391449,-2.395793233
1,3,3,360000,1,51.375134,-2.378520057
2,3,2,396000,1,51.39985871,-2.344339872
2,3,3,499950,1,51.38981024,-2.3489926359999997
1,3,3,602000,1,51.37211007,-2.350510044
2,4,2,425000,1,51.38399276,-2.357886347
2,4,2,270000,1,51.3985316,-2.343093709
2,1,3,225000,1,51.36552583,-2.388294487
1,2,4,962500,1,51.38994376,-2.337180177
2,2,3,629000,1,51.40630491,-2.309179668
1,3,4,550000,1,51.37914339,-2.349902861
1,1,3,247500,1,51.36080576,-2.382653167
1,3,3,320000,1,51.37563468,-2.393035019
1,2,3,630000,1,51.39164599,-2.326672283
1,2,4,380000,1,51.37715126,-2.388550945
1,3,3,315000,1,51.37594049,-2.379374381
1,1,1,827000,1,51.38809288,-2.38906
1,3,2,195000,1,51.3634478,-2.383120462
2,4,2,365000,1,51.38423487,-2.358103784
1,3,3,257500,1,51.35912422,-2.382682232
2,4,3,510000,1,51.38631184,-2.34617813
1,3,2,207000,1,51.36197113,-2.3837401
1,3,3,518500,1,51.40748941,-2.32011427
1,3,2,318000,1,51.37487967,-2.3848250369999997
2,1,3,485000,1,51.367641,-2.365772873
1,1,5,920000,1,51.37007922,-2.361915027
2,4,2,545000,1,51.39029841,-2.363109
1,3,2,305000,1,51.39698309,-2.352827574
1,3,3,287500,1,51.37542103,-2.389700023
1,1,3,265000,1,51.35805732,-2.381725467
1,3,3,465000,1,51.38925546,-2.348083014
2,4,2,260000,1,51.37578164,-2.352520776
1,1,2,245000,1,51.37711404,-2.391625301
1,3,2,325000,1,51.37823418,-2.381893381
1,3,2,322500,1,51.37558404,-2.381152958
1,3,3,267500,1,51.35659259,-2.375882638
1,3,2,340000,1,51.37396565,-2.38386917
1,1,3,505000,1,51.35773828,-2.369055922
1,3,2,324000,1,51.3769364,-2.3800435269999998
1,3,2,340000,1,51.39142755,-2.358318065
1,3,4,383000,1,51.38307335,-2.394952439
1,3,2,469000,1,51.39506575,-2.359438874
2,3,2,500000,1,51.39506575,-2.359438874
1,3,4,1403000,1,51.39286523,-2.37303242
1,1,1,1010000,1,51.41102262,-2.320297124
2,1,4,614850,1,51.387511,-2.382689193
1,3,3,300000,1,51.37122294,-2.372813304
1,2,3,380000,1,51.35258432,-2.375246698
1,2,3,535000,1,51.40137445,-2.33006231
2,4,3,225000,1,51.39191221,-2.3556629890000003
1,3,3,325000,1,51.37299946,-2.385110956
1,1,3,540000,1,51.38568522,-2.393681609
1,3,3,346500,1,51.37558404,-2.381152958
2,4,2,280000,1,51.37758148,-2.369531669
1,1,3,440000,1,51.36633131,-2.321292143
2,4,3,190000,1,51.37641772,-2.4033862630000002
1,3,4,710000,1,51.38512184,-2.390184
1,3,2,265000,1,51.38432238,-2.3978515430000003
1,3,3,247500,1,51.36918072,-2.389718839
1,3,2,233000,1,51.36002459,-2.3596095740000003
1,2,4,435000,1,51.37210239,-2.392602505
1,1,3,525000,1,51.36649456,-2.3724157740000003
1,3,3,305000,1,51.37396565,-2.38386917
1,3,2,342000,1,51.37354404,-2.3835639459999998
2,2,3,570000,1,51.39129345,-2.378092966
1,1,3,420000,1,51.3894382,-2.340984897
2,3,2,289000,1,51.38105327,-2.380451234
1,3,2,235000,1,51.40021664,-2.35098374
1,3,1,1050000,1,51.38776421,-2.365345568
2,3,3,630000,1,51.39095653,-2.3565035180000002
1,2,2,506000,1,51.39371092,-2.364315005
1,3,3,335000,1,51.37488556,-2.383029221
2,4,3,490000,1,51.39259881,-2.332874
1,1,3,386000,1,51.39382171,-2.35458547
1,1,5,775000,1,51.37317344,-2.370200109
1,3,3,348000,1,51.37563468,-2.393035019
1,2,4,900000,1,51.39537502,-2.3698475930000003
1,1,2,205000,1,51.37379611,-2.404842967
2,1,4,467500,1,51.39876461,-2.352438807
1,3,6,1080000,1,51.35933088,-2.3481575880000003
1,3,3,375000,1,51.396547,-2.351746
2,4,1,162500,1,51.39317831,-2.3502687
1,1,3,274000,1,51.38036491,-2.40343535
1,1,3,400000,1,51.36279334,-2.347939686
2,4,2,370000,1,51.38610589,-2.351924744
2,4,2,345000,1,51.38365721,-2.370026
1,1,3,318000,1,51.36607869,-2.39237859
1,3,3,450000,1,51.36390755,-2.377220908
1,3,3,280000,1,51.40297268,-2.337175421
1,3,2,232500,1,51.363683,-2.388451
1,3,2,385000,1,51.38621301,-2.380910791
1,1,4,590000,1,51.360969,-2.356958913
2,4,2,341000,1,51.39986578,-2.30272509
1,3,3,365000,1,51.37396565,-2.38386917
1,2,4,537000,2,51.408143,-2.375197
1,3,2,220000,1,51.36926352,-2.397189429
1,1,3,700000,1,51.38965765,-2.351908896
2,4,1,275000,1,51.367641,-2.365772873
1,3,3,305000,1,51.38305673,-2.39454995
1,3,3,495000,1,51.40361156,-2.4025186659999997
1,3,3,310000,1,51.39814301,-2.294247317
1,1,4,645000,1,51.39142477,-2.38482
1,3,3,395000,1,51.38553298,-2.3961663559999997
1,3,3,272500,1,51.38543888,-2.383922108
1,1,3,375000,1,51.38686152,-2.399468721
2,4,2,435000,1,51.38421599,-2.3554452169999998
2,3,3,338000,1,51.37725718,-2.3836955719999997
1,3,3,367500,1,51.37832735,-2.3836470530000002
1,1,3,280000,1,51.36990463,-2.391046602
1,1,4,310000,1,51.36210194,-2.382233087
1,2,3,437500,1,51.40712093,-2.313397636
1,2,2,355000,1,51.39109611,-2.380721414
1,1,5,450000,1,51.35774568,-2.3667006859999997
1,1,4,515000,1,51.38844554,-2.393719682
1,1,3,520000,1,51.38568522,-2.393681609
1,3,2,208000,1,51.36257445,-2.383472247
1,3,3,318500,1,51.36257445,-2.383472247
1,3,4,1575000,1,51.37388071,-2.353741693
1,3,5,1200000,1,51.3866354,-2.3611116169999997
2,4,3,930000,1,51.393126047977894,-2.36896737843779
1,1,3,575000,1,51.39120712,-2.398701753
1,3,3,335000,1,51.38358118,-2.393677914
2,1,4,496000,1,51.39265596,-2.322382113
1,1,3,360000,1,51.37594331,-2.352579487
1,1,6,975000,1,51.38809288,-2.38906
2,4,2,228000,1,51.38143312,-2.376991464
2,4,2,300000,1,51.359857,-2.34687047
1,1,2,244000,1,51.37730751,-2.390233288
1,3,3,217500,1,51.38315921,-2.404049084
1,3,4,425000,1,51.38358118,-2.393677914
1,3,2,400000,1,51.40588637,-2.321037548
2,4,2,222000,1,51.38190426,-2.3841942659999997
2,3,2,250000,1,51.38038956,-2.393549934
1,3,3,390000,1,51.3854988,-2.382097588
1,2,3,500000,1,51.36272226,-2.350668137
1,3,4,475000,1,51.38418317,-2.385707823
1,3,2,350000,1,51.3959092,-2.354112921
1,3,2,250000,1,51.35912422,-2.382682232
1,1,4,940000,1,51.3894567,-2.349952833
1,3,2,253500,1,51.37958264,-2.379217721
1,1,6,642000,1,51.39125565,-2.394994185
1,3,2,300000,1,51.40081366,-2.304743856
1,3,2,200000,1,51.3634478,-2.383120462
2,4,1,155000,1,51.39668131,-2.391217524
1,3,2,200000,1,51.3634478,-2.383120462
2,4,2,238000,1,51.40272373,-2.326665007
2,4,2,335000,1,51.38727928,-2.362251982
1,1,3,360000,1,51.37437203,-2.391486956
1,3,3,408000,1,51.38579032,-2.38093602
2,3,2,310000,1,51.39685745,-2.349750615
1,1,5,550000,1,51.397004,-2.388819845
1,1,3,345000,1,51.372887,-2.386877
1,2,5,950000,1,51.3662119,-2.3622005319999997
1,3,2,320000,1,51.37010989,-2.386092278
1,1,3,635000,1,51.38568807,-2.392833785
1,2,5,907500,1,51.40832756,-2.312744532
1,3,2,270000,1,51.37393586,-2.390161504
2,4,1,207500,1,51.37524018,-2.37626531
1,1,2,288000,1,51.367641,-2.365772873
2,3,2,256500,1,51.37827948,-2.379020161
1,3,3,312000,1,51.37977,-2.39353
1,3,3,312000,1,51.37977,-2.39353
1,2,4,1200000,1,51.37867734,-2.337126067
1,1,3,425000,1,51.40265648,-2.400468937
2,4,2,490000,1,51.38497684,-2.350622771
2,3,2,507000,1,51.39744064,-2.350171911
1,3,2,236000,1,51.3649235,-2.3909610580000002
1,3,4,295000,1,51.37122294,-2.372813304
2,4,1,180000,1,51.39071448,-2.353296709
2,4,2,185000,1,51.3975856,-2.3950487369999998
2,4,1,115000,1,51.38174314,-2.400085111
1,3,3,315000,1,51.37563468,-2.393035019
1,3,3,427000,1,51.39691155,-2.358619669
1,2,1,1370000,1,51.38983025,-2.368868703
1,2,6,2075000,1,51.38468709,-2.342185378
1,2,4,637500,1,51.40137445,-2.33006231
1,3,3,235000,1,51.40021664,-2.35098374
2,4,2,195000,1,51.39945054,-2.342482481
2,4,2,285000,1,51.38715711,-2.352191487
1,3,3,525000,1,51.38404196,-2.393020859
1,2,4,835000,1,51.37695691,-2.347386223
2,4,2,280000,1,51.38407864,-2.390291
2,4,1,172000,1,51.37973793,-2.3894349669999997
1,2,5,1625000,1,51.3908549,-2.363243156
1,3,2,305000,1,51.37987203,-2.381475965
1,2,4,722000,1,51.38994376,-2.337180177
1,3,4,670000,1,51.37876175,-2.3512361840000002
1,1,3,342500,1,51.40354559,-2.3954882680000003
1,1,3,342500,1,51.40354559,-2.3954882680000003
1,1,5,664000,1,51.3781399,-2.374895409
1,3,3,272500,1,51.36665088,-2.385244403
2,4,2,460000,1,51.38423829,-2.356982963
1,3,2,225000,1,51.35968988,-2.360267611
2,4,2,262000,1,51.37423804,-2.366200388
2,3,5,675000,1,51.39029056,-2.387814367
1,3,3,400000,1,51.36121844,-2.342297592
1,3,1,427500,1,51.3959092,-2.354112921
2,4,1,245000,1,51.39262522,-2.357738157
2,4,2,360000,1,51.38338629,-2.370742385
1,3,2,315000,1,51.39932441,-2.29642546
1,3,2,315000,1,51.37945958,-2.389317657
1,3,4,670000,1,51.37336141,-2.364742379
1,1,3,390000,1,51.40434226,-2.313493636
2,4,2,370000,1,51.391257,-2.3525975530000003
1,3,2,285000,1,51.37354404,-2.3835639459999998
1,3,3,332000,1,51.38305673,-2.39454995
1,1,3,520000,1,51.38656976,-2.381804731
1,3,4,326000,1,51.400463,-2.301779454
1,3,4,850000,1,51.37564404,-2.353424849
1,1,2,245000,1,51.37730751,-2.390233288
1,3,3,650000,1,51.382853,-2.37504737598638
1,1,4,744000,1,51.35975753,-2.355787142
1,1,3,269950,1,51.37035417,-2.396408769
1,1,3,438750,1,51.40109281,-2.349653565
1,2,3,490000,1,51.40575383,-2.401861786
1,3,3,369720,1,51.37396565,-2.38386917
1,2,3,700000,1,51.38865033,-2.3834891209999998
2,4,1,222000,1,51.39048296,-2.355522553
1,3,4,675000,1,51.39826717,-2.347389625
1,3,3,452500,1,51.37478548,-2.333448273
1,2,4,775000,1,51.40985279,-2.303768788
1,1,4,450000,1,51.36963001,-2.3816206380000002
1,3,4,410175,1,51.400463,-2.301779454
1,2,3,555000,1,51.36466165,-2.3966325
1,3,3,375000,1,51.36849577,-2.387486457
1,1,5,965000,1,51.37726858,-2.371799239
1,3,2,312423,1,51.3756942,-2.38595251
2,3,2,402000,1,51.37660518,-2.365457813
1,3,2,234000,1,51.36085652,-2.3610092590000002
1,3,4,500000,1,51.369205,-2.365787
1,3,2,255000,1,51.39391449,-2.395793233
1,3,2,710000,1,51.38663513,-2.3523455540000002
2,4,2,250000,1,51.3700355,-2.364414261
2,3,3,303000,1,51.37384886,-2.372705348
1,2,5,1000000,1,51.384646,-2.393024636
1,1,3,420000,1,51.36654169,-2.3660240409999997
1,1,3,535000,1,51.36649456,-2.3724157740000003
1,3,3,430000,1,51.39923028,-2.347051937
1,2,3,450000,1,51.4034027,-2.340830049
2,4,1,290000,1,51.37808455,-2.378127739
1,2,3,450000,1,51.4034027,-2.340830049
2,4,2,195000,1,51.3700827,-2.377889395
1,3,3,340000,1,51.36526739,-2.392989301
2,4,2,240000,1,51.39317831,-2.3502687
2,3,4,455000,1,51.37674725,-2.366033645
1,3,4,770000,1,51.38386602,-2.349234783
1,3,4,840000,1,51.39365199,-2.348217011
1,3,2,346500,1,51.40012475,-2.3034167919999997
1,3,4,735000,1,51.38750609,-2.358675428
1,2,4,1825000,1,51.39309555,-2.3626860080000003
2,4,1,224000,1,51.3901891,-2.357661
1,3,4,336000,1,51.37017189,-2.372503088
1,2,3,435000,1,51.39535643,-2.384005175
1,3,2,380000,1,51.39743068,-2.34443662
1,3,4,399950,1,51.39915185,-2.394544755
1,2,4,388000,1,51.37437203,-2.391486956
2,4,1,140000,1,51.39668131,-2.391217524
